,radius(m),density(kg/m^3),radius(km),g,E
0,0.0,13088.5,0.0,9.81,0.0
1,12858.0,13088.46,12.858,9.790201384398054,1647606880.1432486
2,25716.0,13088.36,25.716,9.770402768796108,3288524760.503634
3,38574.0,13088.18,38.574,9.75060415319416,4922723704.239146
4,51432.0,13087.92,51.432,9.730805537592216,6550174018.8955555
5,64289.0,13087.6,64.289,9.711008461779942,8170732944.606564
6,77147.0,13087.2,77.147,9.691209846177994,9784615843.23569
7,90005.0,13086.74,90.005,9.671411230576048,11391684814.907629
8,102863.0,13086.2,102.863,9.651612614974102,12991898597.39235
9,115721.0,13085.58,115.721,9.631813999372156,14585228659.068039
10,128579.0,13084.9,128.579,9.61201538377021,16171671430.767195
11,141437.0,13084.14,141.437,9.592216768168264,17751178983.218525
12,154295.0,13083.32,154.295,9.572418152566316,19323753026.940254
13,167153.0,13082.42,167.153,9.55261953696437,20889341228.698227
14,180011.0,13081.44,180.011,9.532820921362424,22447916217.71256
15,192868.0,13080.4,192.868,9.51302384555015,23999367013.363064
16,205726.0,13079.28,205.726,9.493225229948203,25543876395.48209
17,218584.0,13078.1,218.584,9.473426614346257,27081338033.5412
18,231442.0,13076.84,231.442,9.453627998744311,28611688778.04752
19,244300.0,13075.5,244.3,9.433829383142365,30134902419.05361
20,257158.0,13074.1,257.158,9.414030767540417,31651001408.86629
21,270016.0,13072.62,270.016,9.394232151938471,33159916236.43378
22,282874.0,13071.08,282.874,9.374433536336525,34661674430.09372
23,295732.0,13069.46,295.732,9.35463492073458,36156202278.48636
24,308589.0,13067.76,308.589,9.334837844922305,37643358956.41072
25,321447.0,13066.0,321.447,9.315039229320359,39123411630.31516
26,334305.0,13064.17,334.305,9.295240613718413,40596195145.97464
27,347163.0,13062.26,347.163,9.275441998116465,42061656335.33199
28,360021.0,13060.28,360.021,9.255643382514519,43519804403.2605
29,372879.0,13058.23,372.879,9.235844766912573,44970618825.55852
30,385737.0,13056.1,385.737,9.216046151310627,46414043742.16383
31,398595.0,13053.91,398.595,9.19624753570868,47850129049.87041
32,411453.0,13051.64,411.453,9.176448920106735,49278782670.694565
33,424311.0,13049.3,424.311,9.156650304504788,50700020500.76609
34,437168.0,13046.89,437.168,9.136853228692512,52113712675.32708
35,450026.0,13044.4,450.026,9.117054613090568,53520020326.93644
36,462884.0,13041.85,462.884,9.09725599748862,54918894458.99896
